Name	Description	Quantity	To be ordered
STM32G431KBT6	Microcontroller 32-pin	30	0
STM32G441KBT6	Microcontroller 32-pin	13	100
STM32G441CBT6	Microcontroller 48-pin	19	0
DRV8243HQDGQRQ1	DRV8243 motor driver	23	100
10118193-0001LF	Micro USB socket	116	0
CM1223-02SO	TVS diodes 2-ch	13	100
BUK6Y10-30PX	PFET SOT669	10	100
BUK6Y24-40PX	PFET SOT669	0	0
MIC5504-3.3YM5	LDO 3.3V 300mA	18	100
NCP164CSN330T1G	LDO 3.3V 300mA	25	0
NCP718BSN500T1G	LDO 5V 300mA	24	0
NCV8730ASN500T1G	LDO 5V 150mA	15	0
TPS62933DRLR	TPS62933 buck converter	0	100
SRP6060FA-5R6M	Inductor 5.6uH 10A	7	0
SRP4021HMCT-1R5M	Inductor 1.5uH 9A	0	25
20021121-00010T4LF	Pin header, 2x5-pin, 1.27mm pitch, SMD, Vertical, replacement for FTSH-105-01-L-DV-K	0	20
10129383-906001ALF	Pin header, 2x3-pin, 2.54mm pitch, SMD, Vertical, for servos	0	25
SI8640AB-B-IS1	4-ch isolator	156	0
MAX12930EASA+	2-ch isolator	17	0
RF-WUB190DS-DD	LED 0603 white	500	0
RC0603FR-0752K3L	52.3k 0603 resistor	79	0
CL21A226MAYNNNE	22uF 25V 0805 X5R	200	1000
C1206C107M9PAC	100uF 6.3V 1206 X5R	18	0
CL10A106MP8NNNC	10uF 10V 0603 X5R	425	0
IS471FE	IR sensor	3	25
OFL-3102	IR LED 3mm	3	0
OSI5LA3131A	IR LED 3mm		25
